title,is_favorite,date_added,confidence,notes
Bomb The System,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bone Tomahawk,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bonnie and Clyde,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Book of Eli,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Boondock Saints,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Borat,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Bountyhunter,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Bourne Identity,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bourne Supremacy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Bourne Ultimatum,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bowfinger,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bowling for Columbine,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Boxtrolls,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Boyhood,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Boys Don’t Cry,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Boyz in the Hood,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Brave,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Braveheart,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Brazil,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Break-Up,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Breakfast Club,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Breaking Away,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Brick,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bridesmaids,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Bridge,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bridge of Spies,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bridge to Terabithia,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bridget Jones’ Diary,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bring It On,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Brothers Bloom,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bruno,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bruce Almighty,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bubble Boy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
A Bug’s Life,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bullet Train,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Buried,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Burn After Reading,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Butch Cassidy and the Sundance Kid,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Butterfly Effect,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Cabin in the Woods,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Cable Guy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Caddyshack,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Campaign,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Capote,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Captain America: The First Avenger,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Captain Ron,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Cars,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Casablanca,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Casa de mi Padre,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Casino,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Casino Royale,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
